Compliance Area,Area ID,Chapter,Requirement ID,Requirement Code,Requirement Name,Obligation Type,Frequency,Applicable Scales,Priority,Control ID,Control Code,Control Name,Control Type,Automation Level,Control Frequency,Owner,Evidence Required
Preliminary,CA-006,Chapter 1,REQ-001,RBI-IT-001,Applicability Determination,Mandatory,Annual,"Top, Upper, Middle",Critical,CTRL-001,RBI-IT-CTRL-001,Scale Classification Assessment,Preventive,Manual,Annual,Compliance Officer,"Asset size calculation, Scale classification document, Board approval"
Preliminary,CA-006,Chapter 1,REQ-001,RBI-IT-001,Applicability Determination,Mandatory,Annual,"Top, Upper, Middle",Critical,CTRL-002,RBI-IT-CTRL-002,Applicability Matrix Review,Detective,Manual,Annual,Chief Compliance Officer,"Applicability matrix, Gap analysis report"
Preliminary,CA-006,Chapter 1,REQ-002,RBI-IT-002,Definitions and Interpretations,Mandatory,As needed,"Top, Upper, Middle",Medium,CTRL-003,RBI-IT-CTRL-003,Glossary Maintenance,Preventive,Manual,Annual,IT Governance Team,"IT governance glossary, Version control log"
Preliminary,CA-006,Chapter 1,REQ-003,RBI-IT-003,Scope of Coverage,Mandatory,Annual,"Top, Upper, Middle",High,CTRL-004,RBI-IT-CTRL-004,Scope Documentation,Preventive,Manual,Annual,CIO,"Scope document, IT asset inventory, Third-party list"
Preliminary,CA-006,Chapter 1,REQ-003,RBI-IT-003,Scope of Coverage,Mandatory,Annual,"Top, Upper, Middle",High,CTRL-005,RBI-IT-CTRL-005,Scope Review and Approval,Detective,Manual,Annual,Board IT Committee,"Board minutes, Approved scope document"
IT Governance,CA-001,Chapter 2,REQ-004,RBI-IT-004,IT Governance Framework,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-006,RBI-IT-CTRL-006,Governance Framework Documentation,Preventive,Manual,Annual,CIO,"IT governance framework document, Organizational chart, RACI matrix"
IT Governance,CA-001,Chapter 2,REQ-004,RBI-IT-004,IT Governance Framework,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-007,RBI-IT-CTRL-007,Governance Framework Review,Detective,Manual,Annual,Board IT Committee,"Review meeting minutes, Updated framework, Board approval"
IT Governance,CA-001,Chapter 2,REQ-005,RBI-IT-005,Board IT Strategy Committee,Mandatory,Quarterly,"Top, Upper",Critical,CTRL-008,RBI-IT-CTRL-008,Committee Constitution,Preventive,Manual,Annual,Board of Directors,"Board resolution, Committee charter, Member appointment letters"
IT Governance,CA-001,Chapter 2,REQ-005,RBI-IT-005,Board IT Strategy Committee,Mandatory,Quarterly,"Top, Upper",Critical,CTRL-009,RBI-IT-CTRL-009,Committee Meeting Compliance,Detective,Manual,Quarterly,Company Secretary,"Meeting notices, Attendance records, Minutes of meetings, Action item tracker"
IT Governance,CA-001,Chapter 2,REQ-005,RBI-IT-005,Board IT Strategy Committee,Mandatory,Quarterly,"Top, Upper",Critical,CTRL-010,RBI-IT-CTRL-010,Independent Director Participation,Detective,Manual,Annual,Company Secretary,"Committee composition, Director independence certificates"
IT Governance,CA-001,Chapter 2,REQ-006,RBI-IT-006,IT Steering Committee,Mandatory,Monthly,"Top, Upper, Middle",Critical,CTRL-011,RBI-IT-CTRL-011,Steering Committee Formation,Preventive,Manual,Annual,CEO,"Committee charter, Member list, Terms of reference"
IT Governance,CA-001,Chapter 2,REQ-006,RBI-IT-006,IT Steering Committee,Mandatory,Monthly,"Top, Upper, Middle",Critical,CTRL-012,RBI-IT-CTRL-012,Monthly Meeting Execution,Detective,Manual,Monthly,CIO,"Meeting calendar, Agendas, Minutes, Decision log"
IT Governance,CA-001,Chapter 2,REQ-007,RBI-IT-007,IT Strategy and Policy,Mandatory,Annual,"Top, Upper, Middle",Critical,CTRL-013,RBI-IT-CTRL-013,IT Strategy Development,Preventive,Manual,Annual,CIO,"IT strategy document, Business alignment matrix, Stakeholder consultation records"
IT Governance,CA-001,Chapter 2,REQ-007,RBI-IT-007,IT Strategy and Policy,Mandatory,Annual,"Top, Upper, Middle",Critical,CTRL-014,RBI-IT-CTRL-014,Board Approval of IT Strategy,Preventive,Manual,Annual,Board IT Committee,"Board presentation, Board resolution, Approved IT strategy"
IT Governance,CA-001,Chapter 2,REQ-008,RBI-IT-008,IT Budget and Resource Allocation,Mandatory,Annual,"Top, Upper, Middle",High,CTRL-015,RBI-IT-CTRL-015,IT Budget Planning,Preventive,Manual,Annual,CIO/CFO,"IT budget document, Budget justification, Resource allocation plan"
IT Governance,CA-001,Chapter 2,REQ-008,RBI-IT-008,IT Budget and Resource Allocation,Mandatory,Annual,"Top, Upper, Middle",High,CTRL-016,RBI-IT-CTRL-016,Budget Monitoring and Variance Analysis,Detective,Semi-automated,Monthly,CIO/CFO,"Budget vs actual reports, Variance analysis, Corrective action plans"
IT Governance,CA-001,Chapter 2,REQ-009,RBI-IT-009,IT Performance Metrics,Mandatory,Quarterly,"Top, Upper, Middle",High,CTRL-017,RBI-IT-CTRL-017,KPI Framework Definition,Preventive,Manual,Annual,CIO,"KPI framework, KPI definitions, Target setting methodology"
IT Governance,CA-001,Chapter 2,REQ-009,RBI-IT-009,IT Performance Metrics,Mandatory,Quarterly,"Top, Upper, Middle",High,CTRL-018,RBI-IT-CTRL-018,KPI Monitoring and Reporting,Detective,Automated,Quarterly,CIO,"KPI dashboards, Quarterly reports, Board presentations"
IT Governance,CA-001,Chapter 2,REQ-010,RBI-IT-010,Change Management,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-019,RBI-IT-CTRL-019,Change Management Policy,Preventive,Manual,Annual,CIO,"Change management policy, Change procedures, CAB charter"
IT Governance,CA-001,Chapter 2,REQ-010,RBI-IT-010,Change Management,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-020,RBI-IT-CTRL-020,Change Approval Process,Preventive,Semi-automated,Per change,Change Manager,"Change requests, CAB approvals, Implementation records"
IT Governance,CA-001,Chapter 2,REQ-010,RBI-IT-010,Change Management,Mandatory,Continuous,"Top, Upper, Middle",Critical,CTRL-021,RBI-IT-CTRL-021,Emergency Change Management,Corrective,Manual,As needed,Change Manager,"Emergency change log, Post-implementation reviews, Lessons learned"
IT Governance,CA-001,Chapter 2,REQ-011,RBI-IT-011,Project Management,Mandatory,Continuous,"Top, Upper, Middle",High,CTRL-022,RBI-IT-CTRL-022,Project Management Framework,Preventive,Manual,Annual,PMO Head,"PM framework document, Templates, Training records"
IT Governance,CA-001,Chapter 2,REQ-011,RBI-IT-011,Project Management,Mandatory,Continuous,"Top, Upper, Middle",High,CTRL-023,RBI-IT-CTRL-023,Project Governance,Detective,Manual,Per project,PMO Head,"Project charters, Steering committee minutes, Gate review records"
